compound_id,smiles,clearance_cell,fu,clint_l_h,hepatic_cl_l_h,renal_cl_l_h,cmax,t_cmax,final_blood
CHEMBL1587607,O=C(Nc1ccccc1Cl)c1cc[nH]n1,150.0,0.7,1620000000.0,89.99999285714341,22.499998214285853,20.0,0.0,0.31450146436691284
CHEMBL2088413,Cc1ccc(CCNC(=O)c2ccc3sc(CO)nc3c2)cc1,150.0,0.7,1620000000.0,89.99999285714341,22.499998214285853,20.0,0.0,0.31450146436691284
CHEMBL1956163,O=C1[C@H]2[C@H]3CC[C@H](C3)[C@H]2C(=O)N1[C@H]1CC[C@H](C(=O)Nc2cccc3cccnc23)CC1,150.0,0.7,1620000000.0,89.99999285714341,22.499998214285853,20.0,0.0,0.31450146436691284
CHEMBL1198335,COc1cccc(Nc2nc(NCC3CCCO3)c3ccccc3n2)c1,150.0,0.7,1620000000.0,89.99999285714341,22.499998214285853,20.0,0.0,0.31450146436691284
CHEMBL2103846,CC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@@H](c3ccc(N(C)C)cc3)C[C@@]21C,150.0,0.7,1620000000.0,89.99999285714341,22.499998214285853,20.0,0.0,0.31450146436691284
CHEMBL2177601,Cc1c(C(=O)NC2C3CC4CC(C3)CC2C4)cnn1-c1ccc(C(=O)O)cc1,3.0,0.7,32400000.0,89.99964285856008,22.49991071464002,20.0,0.0,0.3145015239715576
CHEMBL1956129,C[C@@](CCc1ccc(-c2ccc(Cl)cc2)cc1)(C(=O)NO)S(C)(=O)=O,3.0,0.7,32400000.0,89.99964285856008,22.49991071464002,20.0,0.0,0.3145015239715576
CHEMBL1940832,O=CNc1cc([C@@H](O)CNCCc2ccc(NC[C@H](O)c3ccccc3)cc2)ccc1O,3.0,0.7,32400000.0,89.99964285856008,22.49991071464002,20.0,0.0,0.3145015239715576
CHEMBL1689109,O=C(O)COc1ccc(Cl)cc1CN1CCN(S(=O)(=O)c2ccccc2)CC1,3.0,0.7,32400000.0,89.99964285856008,22.49991071464002,20.0,0.0,0.3145015239715576
CHEMBL403963,C(=C/c1nn[nH]n1)\c1ccccc1,3.0,0.7,32400000.0,89.99964285856008,22.49991071464002,20.0,0.0,0.3145015239715576
