chembl_id,bioavailability_frac,caco2_log_permeability,caco2_permeability_cm_s,clearance_cell_uL_min_1e6,clearance_hepatic_l_h,clearance_l_h,fu_frac,half_life_h,microsome_clearance_uL_min_mg,microsome_clint_l_h,microsome_hepatic_l_h,vd_l_kg,smiles
(+)dOTC,,,,,,,,,,,,0.84,
(-)-Epicatechin (36),,-6.4311924000000005,,,,,,,,,,,
(-)-epicatechin,,-6.2199998,,,,,,,,,,,
(-)dOTC,,,,,,,,,,,,1.18,
"(2E,4Z,8Z)-N-isobutyldodeca-2,4,10-triene-8 -ynamide",,-3.8599999,,,,,,,,,,,
"(2E,4Z,8Z)-N-isobutyldodeca-2,4,10-triene-8 -ynamide (4) mw = 245",,-4.0,,,,,,,,,,,
"(2E,9Z)-N-(2-methylbutyl)pentadeca-2,9-diene-12,14-diynamide",,-4.4299998,,,,,,,,,,,
"(E)-4-(3,4-dimethoxyphenyl)but-3-en-1-yl linoleate (1)",,-4.8498521,,,,,,,,,,,
"(E)-4-(3,4-dimethoxyphenyl)but-3-en-1-yl oleate (2)",,-5.0101638,,,,,,,,,,,
(E-Z)-19a,,-5.1399999,,,,,,,,,,,
(Z)-19b,,-5.4000001,,,,,,,,,,,
(Z)-19c,,-5.0700002,,,,,,,,,,,
(Z)-19d,,-5.420000099999998,,,,,,,,,,,
(Z)-19e,,-4.829999900000002,,,,,,,,,,,
(Z)-19f,,-5.3200002,,,,,,,,,,,
(Z)-19g,,-5.1599998,,,,,,,,,,,
-,,-4.158266966666667,,,,,,,,,,,
014-Ampicillin,,-6.1023731,,,,,,,,,,,
016-Ceftibuten,,-6.0604806,,,,,,,,,,,
061-Amiloride,,-5.5642352,,,,,,,,,,,
1,,-5.357343033333333,,,,,,,,,,,
1-Aminocyclopropanecarboxylic Acid,,,,,,,,,,,,0.73,
1-naphthol,,-4.4899998,,,,,,,,,,,
10,,-5.776903633333333,,,,,,,,,,,
1029-Dihydrotetrabenazine isomer,,-4.598685700000001,,,,,,,,,,,
1033-Dextromethorphan (DEM),,-4.628932,,,,,,,,,,,
107-zidovudine,,-5.1850867,,,,,,,,,,,
10b,,-5.3289509000000015,,,,,,,,,,,
10c,,-5.6999998,,,,,,,,,,,
10d,,-5.0,,,,,,,,,,,
11,,-5.703978566666667,,,,,,,,,,,
11-keto-beta-boswellic acid (KBA),,-5.8000002,,,,,,,,,,,
11b,,-5.521439099999999,,,,,,,,,,,
11c,,-4.9204097,,,,,,,,,,,
11d,,-4.3886080000000005,,,,,,,,,,,
11e,,-4.4308991,,,,,,,,,,,
11f,,-4.7979398,,,,,,,,,,,
12,,-5.7702575,,,,,,,,,,,
12c,,-5.521439099999999,,,,,,,,,,,
12d,,-5.503591050000001,,,,,,,,,,,
12g,,-5.5514212,,,,,,,,,,,
12q,,-5.8219547,,,,,,,,,,,
