chembl_id,bioavailability_frac,caco2_log_permeability,caco2_permeability_cm_s,clearance_cell_uL_min_1e6,clearance_hepatic_l_h,clearance_l_h,fu_frac,half_life_h,microsome_clearance_uL_min_mg,microsome_clint_l_h,microsome_hepatic_l_h,vd_l_kg,smiles
-,,-4.158266966666667,,,,,,,,,,,
1,,-5.357343033333333,,,,,,,,,,,
10,,-5.776903633333333,,,,,,,,,,,
11,,-5.703978566666667,,,,,,,,,,,
12,,-5.7702575,,,,,,,,,,,
13,,-5.3152216800000005,,,,,,,,,,,
14,,-5.643190625,,,,,,,,,,,
16,,-6.057347766666667,,,,,,,,,,,
2,,-5.9381936,,,,,,,,,,,
20,,-4.6636984,,,,,,,,,,,
22,,-5.404981725,,,,,,,,,,,
23,,-5.737847833333333,,,,,,,,,,,
24,,-5.529712833333334,,,,,,,,,,,
25,,-5.123333266666666,,,,,,,,,,,
3,,-5.52575978,,,,,,,,,,,
31,,-4.8202834,,,,,,,,,,,
32,,-5.099535800000001,,,,,,,,,,,
34,,-5.589919433333333,,,,,,,,,,,
36,,-4.988223300000001,,,,,,,,,,,
4,,-5.810210733333332,,,,,,,,,,,
4b,,-5.5,,,,,,,,,,,
4c,,-5.6600001,,,,,,,,,,,
6,,-5.570015239999999,,,,,,,,,,,
7,,-5.63885665,,,,,,,,,,,
8,,-5.929649366666666,,,,,,,,,,,
9,,-5.59722805,,,,,,,,,,,
PNU200648,,-7.048939450000001,,,,,,,,,,,
PNU200969,,-6.15122555,,,,,,,,,,,
