canonical_smiles,fu,vd,clearance,source,split_original,chembl_id,priority
Br.Br.O=C(Nc1ccc2cccnc2c1)c1ccc(-c2ccccc2)c(CN2CCCCC2)c1,,,287.0,ChEMBL,,CHEMBL4127228,1
Br.CC(C)C(=O)OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](OC(=O)C(C)C)[C@@H]1OC(=O)C(C)C,,,98.7,ChEMBL,,CHEMBL4856487,1
Br.CCN(CC)CCN(CCNCCc1ccc(O)c2[nH]c(=O)sc12)C(=O)CCOCCc1cccc2ccccc12,,22.0,105.0,ChEMBL,,CHEMBL3265167,1
Br.CN(C)CCCC1(c2ccc(F)cc2)OCc2cc(C#N)ccc21,0.1775,,,ChEMBL,,CHEMBL1200781,1
Br.CN(C)Cc1cc2c([nH]c(=O)c3cccc(O)c32)s1,0.13,2.1,0.069,ChEMBL,,CHEMBL3219283,1
Br.CN(C)c1ccc(-c2cc(=O)c3ccc(O)c(O)c3o2)cc1,,2.117,168.0,ChEMBL,,CHEMBL2206419,1
Br.COc1ccc2c3c1O[C@H]1C[C@@H](O)C=C[C@@]31CCN(C)C2,,2.9,34.0,ChEMBL,,CHEMBL1555,1
Br.Cc1ccc(S(=O)(=O)NCc2cccc(CNC(=N)c3ccccc3)c2)cc1,,,396.0,ChEMBL,,CHEMBL5396622,1
Br.Cc1cnc(Nc2ccc(C#N)cc2)nc1Nc1c(F)cc(-c2ccncc2)cc1F,,,28.35,ChEMBL,,CHEMBL5082821,1
Br.NC(=O)c1cnc2[nH]ccc2c1NC1C2CC3CC1CC(O)(C3)C2,,,76.5,ChEMBL,,CHEMBL4242999,1
Br.O=C1NCC(c2ccccc2)C12CCN(C1(c3ccccc3)CCCCC1)CC2,,,7.0,ChEMBL,,CHEMBL537871,1
Brc1cc(Br)cc([C@H]2C[C@@H](CN3CCCC3)N2Cc2ccccc2Br)c1,,,105.0,ChEMBL,,CHEMBL5417318,1
Brc1ccc(-c2nc3ccc(Br)cn3n2)cc1,,,19.0,ChEMBL,,CHEMBL5203882,1
Brc1ccc(C2(CC3CCCC3)c3ccccc3-c3nccn32)cn1,0.013,,,ChEMBL,,CHEMBL1801328,1
Brc1ccc(C2(CC3CCOCC3)c3ccccc3-c3nccn32)cc1,0.19,,48.0,ChEMBL,,CHEMBL1801272,1
Brc1ccc(C2(Cc3ccccc3)c3ccccc3-c3nccn32)cc1,0.01,,,ChEMBL,,CHEMBL1801267,1
Brc1ccc(C2(Cc3cccnc3)c3ccccc3-c3nccn32)cc1,0.021,,,ChEMBL,,CHEMBL1801269,1
Brc1ccc(CNC23CC4CC(CC(C4)C2)C3)[se]1,,,170.7,ChEMBL,,CHEMBL4291979,1
Brc1ccc(CNC23CC4CC(CC(C4)C2)C3)s1,,,38.0,ChEMBL,,CHEMBL3415946,1
Brc1ccc(CNC23CCC4CC(CC(C4)C2)C3)s1,,,603.6,ChEMBL,,CHEMBL4277906,1
Brc1ccc(Nc2ccc(CN3CCC4(CC3)OCCc3sccc34)cc2)cc1,,,19.8,ChEMBL,,CHEMBL4280886,1
Brc1ccc2[nH]c(Cn3cncc3-c3ccccc3)cc2c1,,,9.83,ChEMBL,,CHEMBL4177139,1
Brc1ccc2[nH]nc(C3=CCCNC3)c2c1,0.12,,45.6,ChEMBL,,CHEMBL5424175,1
Brc1ccc2c(c1)CCCc1nnc(C3CCN(c4ccccn4)CC3)n1-2,,,50.0,ChEMBL,,CHEMBL4746716,1
Brc1ccc2c(c1)CCCc1nnc([C@H]3CC[C@H](Oc4ccccn4)CC3)n1-2,,,90.0,ChEMBL,,CHEMBL4799412,1
Brc1cccc(Nc2ncnc3ccc(NCCCN4CCCCC4)cc23)c1,0.077,,,ChEMBL,,CHEMBL2425736,1
Brc1cccc2c1OCC=C2c1c[nH]cn1,,,249.12,ChEMBL,,CHEMBL5558235,1
Brc1cccc2c1OCCC2c1c[nH]cn1,,,28.98,ChEMBL,,CHEMBL5532450,1
C#CC(=O)NCCn1cc(-c2ncnc3cc(OC)c(OC)cc23)c(-c2cccc(OC)c2)n1,,,105.0,ChEMBL,,CHEMBL5567954,1
C#CC(CC)(CC)Nc1nc(NC)nc(-n2cncn2)n1,,,22.0,ChEMBL,,CHEMBL2402512,1
C#CC1(O)C(CO)OC(n2ccc(N)nc2=O)C1O,,1.1,,KEC,train,,3
C#CC1(O)C=CC2C3CCC4=CC(=O)CCC4C3CCC21CC,,0.46,,KEC,val,,3
C#CC1(O)CCC2C3CCC4=CC(=O)CCC4C3C(=C)CC21CC,,2.87,,KEC,test,,3
C#CC1(O)CCC2C3CCC4=CC(=O)CCC4C3CCC21CC,,1.5,,KEC,test,,3
C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C,,4.3,,KEC,train,,3
C#CC1(O)CCC2C3CCc4cc(OS(=O)(=O)[O-])ccc4C3CCC21C,,2.3,,KEC,train,,3
C#CC1(OS(=O)(=O)[O-])CCC2C3CCc4cc(O)ccc4C3CCC21C,,0.61,,KEC,train,,3
