assay_type,canonical_smiles,molecule_chembl_id,standard_type,standard_units,standard_value,type,units,value,query_label,query_standard_type,units_hint,dataset
A,Nc1cccc(C(=O)NCC23CC4CC(CC(C4)C2)C3)c1Cl,CHEMBL134194,Clearance,,56.0,Clearance,,56.0,clearance,Clearance,(L/h|l/min|ml/min|uL/min),ChEMBL
A,Nc1ccc(Cl)c(C(=O)NCC23CC4CC(CC(C4)C2)C3)c1,CHEMBL129982,Clearance,,24.0,Clearance,,24.0,clearance,Clearance,(L/h|l/min|ml/min|uL/min),ChEMBL
A,Nc1ccc(Cl)c(C(=O)NCC23CC4CC(CC(C4)C2)C3)c1,CHEMBL129982,Clearance,,19.0,Clearance,,19.0,clearance,Clearance,(L/h|l/min|ml/min|uL/min),ChEMBL
A,Nc1cccc(Cl)c1C(=O)NCC12CC3CC(CC(C3)C1)C2,CHEMBL131774,Clearance,,100.0,Clearance,,100.0,clearance,Clearance,(L/h|l/min|ml/min|uL/min),ChEMBL
A,Nc1cccc(Cl)c1C(=O)NCC12CC3CC(CC(C3)C1)C2,CHEMBL131774,Clearance,,100.0,Clearance,,100.0,clearance,Clearance,(L/h|l/min|ml/min|uL/min),ChEMBL
A,COc1ccc(C)c(NC(=O)CC23CC4CC(CC(C4)C2)C3)c1,CHEMBL424451,Clearance,,46.0,Clearance,,46.0,clearance,Clearance,(L/h|l/min|ml/min|uL/min),ChEMBL
A,COc1ccc(C)c(NC(=O)CC23CC4CC(CC(C4)C2)C3)c1,CHEMBL424451,Clearance,,100.0,Clearance,,100.0,clearance,Clearance,(L/h|l/min|ml/min|uL/min),ChEMBL
A,O=C(CCC12CC3CC(CC(C3)C1)C2)Nc1ccc2[nH]ncc2c1,CHEMBL335466,Clearance,,5.0,Clearance,,5.0,clearance,Clearance,(L/h|l/min|ml/min|uL/min),ChEMBL
A,O=C(CCC12CC3CC(CC(C3)C1)C2)Nc1ccc2[nH]ncc2c1,CHEMBL335466,Clearance,,21.0,Clearance,,21.0,clearance,Clearance,(L/h|l/min|ml/min|uL/min),ChEMBL
A,COc1cccc(NC(=O)CC23CC4CC(CC(C4)C2)C3)c1C,CHEMBL341226,Clearance,,100.0,Clearance,,100.0,clearance,Clearance,(L/h|l/min|ml/min|uL/min),ChEMBL
A,COc1cccc(NC(=O)CC23CC4CC(CC(C4)C2)C3)c1C,CHEMBL341226,Clearance,,100.0,Clearance,,100.0,clearance,Clearance,(L/h|l/min|ml/min|uL/min),ChEMBL
A,O=C(NCC12CC3CC(CC(C3)C1)C2)c1cc(Cl)ccc1Cl,CHEMBL131162,Clearance,,100.0,Clearance,,100.0,clearance,Clearance,(L/h|l/min|ml/min|uL/min),ChEMBL
A,O=C(NCC12CC3CC(CC(C3)C1)C2)c1cc(O)ccc1Cl,CHEMBL130840,Clearance,,45.0,Clearance,,45.0,clearance,Clearance,(L/h|l/min|ml/min|uL/min),ChEMBL
A,O=C(NCC12CC3CC(CC(C3)C1)C2)c1cc(O)ccc1Cl,CHEMBL130840,Clearance,,88.0,Clearance,,88.0,clearance,Clearance,(L/h|l/min|ml/min|uL/min),ChEMBL
A,COc1ccc(Cl)c(NC(=O)CC23CC4CC(CC(C4)C2)C3)c1,CHEMBL131241,Clearance,,45.0,Clearance,,45.0,clearance,Clearance,(L/h|l/min|ml/min|uL/min),ChEMBL
A,COc1ccc(Cl)c(NC(=O)CC23CC4CC(CC(C4)C2)C3)c1,CHEMBL131241,Clearance,,79.0,Clearance,,79.0,clearance,Clearance,(L/h|l/min|ml/min|uL/min),ChEMBL
A,O=C(NCC12CC3CC(CC(C3)C1)C2)c1ccccc1Cl,CHEMBL336619,Clearance,,100.0,Clearance,,100.0,clearance,Clearance,(L/h|l/min|ml/min|uL/min),ChEMBL
A,O=C(NCC12CC3CC(CC(C3)C1)C2)c1cccc(Cl)c1Cl,CHEMBL441479,Clearance,,100.0,Clearance,,100.0,clearance,Clearance,(L/h|l/min|ml/min|uL/min),ChEMBL
A,O=C(NCC12CC3CC(CC(C3)C1)C2)c1cccc(Cl)c1Cl,CHEMBL441479,Clearance,,33.0,Clearance,,33.0,clearance,Clearance,(L/h|l/min|ml/min|uL/min),ChEMBL
