Drug_ID,smiles,value,source,dataset,smiles,value,smiles.3,value.3,smiles.2,value.2,smiles.1,value.1,assay_type,smiles.4,molecule_chembl_id,standard_type,standard_units,value.4,type,units,query_label,query_standard_type,units_hint,smiles,value
(-)-epicatechin,Oc1cc(O)c2c(c1)OC(c1ccc(O)c(O)c1)C(O)C2,-6.2199998,caco2_wang,TDC,,,,,,,,,,,,,,,,,,,,,
"(2E,4Z,8Z)-N-isobutyldodeca-2,4,10-triene-8 -ynamide",C/C=C\C#CCC/C=C\C=C\C(=O)NCC(C)C,-3.8599999,caco2_wang,TDC,,,,,,,,,,,,,,,,,,,,,
codeine,COc1ccc2c3c1O[C@H]1[C@@H](O)C=C[C@H]4[C@@H](C2)N(C)CC[C@]314,-4.0900002,caco2_wang,TDC,,,,,,,,,,,,,,,,,,,,,
creatinine,CN1CC(=O)NC1=N,-5.935409099999998,caco2_wang,TDC,,,,,,,,,,,,,,,,,,,,,
danazol,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=Cc5oncc5C[C@]4(C)[C@H]3CC[C@@]21C,-4.8400002,caco2_wang,TDC,,,,,,,,,,,,,,,,,,,,,
dexamethasone b D glucoside,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO[C@H]1O[C@@H](CO)[C@H](O)[C@@H](O)[C@@H]1O,-6.54,caco2_wang,TDC,,,,,,,,,,,,,,,,,,,,,
dexamethasone b D glucuronide,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO[C@H]1O[C@@H](C(=O)O)[C@H](O)[C@@H](O)[C@@H]1O,-6.119999900000002,caco2_wang,TDC,,,,,,,,,,,,,,,,,,,,,
DMXAA-G,Cc1ccc2c(=O)c3cccc(CC(=O)OC4OC(C(=O)O)[C@@H](O)[C@@H](O)[C@@H]4O)c3oc2c1C,-6.52,caco2_wang,TDC,,,,,,,,,,,,,,,,,,,,,
d-praeruptorin,C/C=C(\C)C(=O)O[C@H]1[C@@H](OC(C)=O)c2c(ccc3ccc(=O)oc23)OC1(C)C,-4.579999900000002,caco2_wang,TDC,,,,,,,,,,,,,,,,,,,,,
echinacoside,C[C@@H]1O[C@@H](O[C@@H]2[C@@H](O)[C@H](OCCc3ccc(O)c(O)c3)O[C@H](CO[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@H]2OC(=O)/C=C/c2ccc(O)c(O)c2)[C@H](O)[C@H](O)[C@H]1O,-6.650000099999999,caco2_wang,TDC,,,,,,,,,,,,,,,,,,,,,
EF5154,O=C(O)COc1ccc(C(=O)CN2CCN(C3CCNCC3)CC2=O)cc1,-6.119999900000002,caco2_wang,TDC,,,,,,,,,,,,,,,,,,,,,
EF5170,CCCCOC(=O)COc1ccc(C(=O)CN2CCN(C3CCNCC3)CC2=O)cc1,-5.79,caco2_wang,TDC,,,,,,,,,,,,,,,,,,,,,
EF5232,CCCCC(C)OC(=O)COc1ccc(C(=O)CN2CCN(C3CCNCC3)CC2=O)cc1,-5.29,caco2_wang,TDC,,,,,,,,,,,,,,,,,,,,,
