smiles_r,inchikey,VDss,fup,LogP_pred,LogD_pred,MW,TPSA_NO,HBA,HBD,RotBondCount,LogD_exp,CL_exp,LogD
C#CCC(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)NC(CCC(=O)[O-])C(=O)[O-])cc1,OGSBUKJUDHAQEA-UHFFFAOYSA-L,1.015,0.33,0.35,-6.0,477.47,207.3,12.0,5.0,11.0,,,-6.0
C#CCN(Cc1cc2c(=O)nc(C)[n-]c2cc1C)c1ccc(C(=O)NC(CCc2nnn[n-]2)C(=O)[O-])c(F)c1,YSAOIOBNLKRLOE-UHFFFAOYSA-K,0.53,0.01,2.4,-2.6,532.53,169.8,12.0,4.0,11.0,,,-2.6
C#CC[NH+](C)C(C)Cc1ccccc1,MEZLKOACVSPNER-UHFFFAOYSA-O,1.9,0.13,2.8,2.3,187.28,3.2,1.0,0.0,5.0,,,2.3
C#C[C@]1(O)C=C[C@H]2[C@@H]3CC=C4CC(=O)CCC4[C@H]3CC[C@@]21CC,PCGOZSMTJRCWQF-XZCODKSBSA-N,0.46,0.023,4.1,4.1,310.43,37.3,2.0,1.0,2.0,,,4.1
C#C[C@]1(O)CC[C@H]2[C@@H]3CC=C4CC(=O)CCC4[C@H]3C(=C)C[C@@]21CC,BOMXWTHINLWJIE-BHPIROGQSA-N,2.87,0.02,4.0,4.0,324.46,37.3,2.0,1.0,2.0,,,4.0
C#C[C@]1(O)CC[C@H]2[C@@H]3CC=C4CC(=O)CCC4[C@H]3CC[C@@]21CC,LYRBZVWRTAFWPO-XZCODKSBSA-N,1.5,0.025,3.5,3.5,312.45,37.3,2.0,1.0,2.0,,,3.5
C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(OS(=O)(=O)[O-])ccc4[C@H]3CC[C@@]21C,WLGIWVFFGMPRLM-SLHNCBLASA-M,2.3,0.011,1.6,-1.9,376.47,83.8,5.0,2.0,3.0,,,-1.9
C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc([O-])ccc4[C@H]3CC[C@@]21C,BFPYWIDHMRZLRN-SLHNCBLASA-M,4.3,0.014,3.5,3.5,296.4,40.5,2.0,2.0,1.0,,,3.5
C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,AAKJLRGGTJKAMG-UHFFFAOYSA-N,0.77,0.07,3.8,3.8,393.44,74.7,7.0,1.0,11.0,3.35,7.41,3.35
C/C(=C\c1csc(C)n1)[C@@H]1C[C@@H]2O[C@]2(C)CCC[C@H](C)[C@H](O)C(C)C(=O)C(C)(C)[C@@H](O)CC(=O)N1,FABUFPQFXZVHFB-KUCAWJBASA-N,11.0,0.2,3.9,3.9,506.7,112.0,7.0,3.0,2.0,,,3.9
C/C(=C\c1csc(C)n1)[C@@H]1C[C@@H]2O[C@]2(C)CCC[C@H](C)[C@H](O)C(C)C(=O)C(C)(C)[C@@H](O)CC(=O)O1,QXRSDHAAWVKZLJ-KUCAWJBASA-N,14.4,0.22,3.8,3.8,507.68,109.3,7.0,2.0,2.0,,,3.8
C1COC(NC(C2CC2)C2CC2)=[NH+]1,CQXADFVORZEARL-UHFFFAOYSA-O,4.5,0.9,0.91,-2.2,180.25,33.6,3.0,1.0,4.0,,,-2.2
