canonical_smiles,VDss_exp,fup_exp,LogD_exp,CL_hep_exp,CL_mic_exp,halflife_exp,MW,LogP,TPSA,HBA,HBD,RotBonds,Rings,AromaticRings,FractionCSP3
CC(=O)Nc1ccc(O)cc1,1.0,0.7336,0.25,10.8,3.0,2.5,151.165,1.3505999999999998,49.33,2,2,1,1,1,0.125
CC(=O)Nc1ccc(O)cc1,1.0,0.7336,0.25,6.31,3.0,2.5,151.165,1.3505999999999998,49.33,2,2,1,1,1,0.125
Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1)=NC2,0.8,0.28950000000000004,1.98,42.66,,12.0,308.77200000000005,3.5801200000000017,43.07,4,0,1,4,3,0.11764705882352941
Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1)=NC2,0.8,0.28950000000000004,1.98,3.98,,12.0,308.77200000000005,3.5801200000000017,43.07,4,0,1,4,3,0.11764705882352941
Cc1cc(=O)n(-c2ccccc2)n1C,0.77,0.8065000000000001,0.11,3.0,,12.0,188.23000000000002,1.4844199999999999,26.93,3,0,1,2,2,0.18181818181818182
Cc1cc(=O)n(-c2ccccc2)n1C,0.77,0.8065000000000001,0.11,4.47,,12.0,188.23000000000002,1.4844199999999999,26.93,3,0,1,2,2,0.18181818181818182
Cn1c(=O)c2c(ncn2C)n(C)c1=O,0.63,0.7555,-0.03,3.0,,4.9,194.194,-1.0293,61.82,6,0,0,2,2,0.375
CNC1=Nc2ccc(Cl)cc2C(c2ccccc2)=[N+]([O-])C1,0.25,0.022900000000000063,2.41,3.89,5.75,8.3,299.761,2.950700000000001,50.459999999999994,3,1,1,3,2,0.125
COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1C(NC(C)=O)CC2,6.1,0.6712,1.12,,,,399.4430000000002,2.871600000000001,83.09,6,1,5,3,2,0.36363636363636365
CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,1.0,0.013900000000000006,2.69,6.17,5.75,42.0,284.74600000000004,3.153800000000002,32.67,2,0,1,3,2,0.125
C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,0.77,0.041800000000000066,3.35,9.77,18.62,,393.4430000000002,3.405100000000002,74.73000000000002,7,1,10,3,3,0.2727272727272727
C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,0.77,0.041800000000000066,3.35,7.41,18.62,,393.4430000000002,3.405100000000002,74.73000000000002,7,1,10,3,3,0.2727272727272727
CCOC(=O)Nc1ccc(NCc2ccc(F)cc2)cc1N,2.5,0.13950000000000004,,,,,303.33700000000005,3.588400000000001,76.38,4,3,5,2,2,0.1875
OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F,0.75,0.8576999999999999,0.48,,,30.0,306.276,0.7357999999999993,81.64999999999999,7,1,5,3,3,0.23076923076923078
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(F)ccc1-2,0.8,0.44270000000000004,1.1,,,0.78,303.293,1.7736999999999998,64.43,5,0,2,3,2,0.26666666666666666
C[N+]1(C)CCC(OC(=O)C(O)(c2ccccc2)C2CCCC2)C1,0.37,0.7105,,91.0,3.0,,318.43700000000024,2.4562999999999997,46.53,3,1,4,3,1,0.631578947368421
N#Cc1ccc(C(c2ccc(C#N)cc2)n2cncn2)cc1,1.9,0.4827,1.7,3.0,,45.0,285.31,2.65916,78.29,5,0,3,3,3,0.058823529411764705
O=C1Nc2ccc(Cl)cc2C(c2ccccc2Cl)=NC1O,1.3,0.07200000000000002,2.38,4.57,7.94,17.0,321.163,3.1013000000000015,61.69,3,2,1,3,2,0.06666666666666667
O=C1Nc2ccc(Cl)cc2C(c2ccccc2Cl)=NC1O,1.3,0.07200000000000002,2.38,17.38,7.94,17.0,321.163,3.1013000000000015,61.69,3,2,1,3,2,0.06666666666666667
Cc1c(F)cc(C(=O)NC2CC2)cc1-c1ccc(C(=O)NCC(C)(C)C)cn1,1.67,0.1189,3.5,6.31,6.92,,383.4670000000001,3.864220000000002,71.09,3,2,5,3,2,0.4090909090909091
Cc1c(F)cc(C(=O)NC2CC2)cc1-c1ccc(C(=O)NCC(C)(C)C)cn1,1.67,0.1189,3.5,3.8,6.92,,383.4670000000001,3.864220000000002,71.09,3,2,5,3,2,0.4090909090909091
Cn1cc[nH]c1=S,0.86,0.8101,-0.42,,,2.4,114.173,1.08269,20.72,2,1,0,1,1,0.25
Cc1ncc2n1-c1ccc(Cl)cc1C(c1ccccc1F)=NC2,1.1,0.0175,3.4,32.36,,3.1,325.77400000000006,4.324220000000002,30.18,3,0,1,4,3,0.1111111111111111
Cc1ncc2n1-c1ccc(Cl)cc1C(c1ccccc1F)=NC2,1.1,0.0175,3.4,121.0,,3.1,325.77400000000006,4.324220000000002,30.18,3,0,1,4,3,0.1111111111111111
Cc1ccnc2c1NC(=O)c1cccnc1N2C1CC1,1.3,0.5573,,,,53.0,266.30400000000003,2.6512200000000004,58.120000000000005,4,1,1,4,2,0.26666666666666666
COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1ccccc1[N+](=O)[O-],0.79,0.03829999999999998,3.29,150.0,150.0,1.9,346.33900000000006,2.1756,107.77000000000001,7,1,4,2,1,0.29411764705882354
COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1ccccc1[N+](=O)[O-],0.79,0.03829999999999998,3.29,22.39,150.0,1.9,346.33900000000006,2.1756,107.77000000000001,7,1,4,2,1,0.29411764705882354
COCCOC(=O)C1=C(C)NC(C)=C(C(=O)OC(C)C)C1c1cccc([N+](=O)[O-])c1,1.1,0.018299999999999983,3.8,,,1.3,418.44600000000014,2.9708000000000014,117.0,8,1,8,2,1,0.42857142857142855
CCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1cccc([N+](=O)[O-])c1,6.1,0.009000000000000057,,75.0,85.0,8.2,360.36600000000004,2.5657000000000005,107.77000000000001,7,1,5,2,1,0.3333333333333333
O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=NC1O,0.59,0.03829999999999998,,8.51,,6.7,286.718,2.4479,61.69,3,2,1,3,2,0.06666666666666667
CCOc1ccc(NC(C)=O)cc1,1.4,0.6506000000000001,1.5,26.92,24.55,0.92,179.219,2.0437,38.33,2,1,3,1,1,0.3
COc1cc2nc(N3CCN(C(=O)c4ccco4)CC3)nc(N)c2cc1OC,0.73,0.04,1.9,5.37,,2.0,383.40800000000024,1.7845999999999997,106.95,8,1,4,4,3,0.3157894736842105
COc1cc2nc(N3CCN(C(=O)c4ccco4)CC3)nc(N)c2cc1OC,0.73,0.04,1.9,12.02,,2.0,383.40800000000024,1.7845999999999997,106.95,8,1,4,4,3,0.3157894736842105
CCCc1cc(=O)[nH]c(=S)[nH]1,0.34,0.5911,0.7,,3.0,1.3,170.237,1.38499,48.65,2,2,2,1,1,0.42857142857142855
CCc1nc(N)nc(N)c1-c1ccc(Cl)cc1,0.43,0.0736,2.31,,,140.0,248.71700000000004,2.5238000000000005,77.82,4,2,2,2,2,0.16666666666666666
Nc1nc2ccc(OC(F)(F)F)cc2s1,3.5,0.028700000000000045,3.34,,,,234.20199999999994,2.7771,48.14,4,1,1,2,2,0.125
CS(=O)(=O)c1ccc(C2=C(c3ccccc3)C(=O)OC2)cc1,1.3,0.06900000000000006,,,,,314.3620000000001,2.5577000000000005,60.44,4,0,3,3,2,0.11764705882352941
O=C(Nc1c(Cl)cncc1Cl)c1ccc(OC(F)F)c(OCC2CC2)c1,1.92,0.005,3.95,150.0,5.0,,403.21200000000016,5.030900000000003,60.45,4,1,7,3,2,0.29411764705882354
COc1ccc(C2CNC(=O)C2)cc1OC1CCCC1,0.67,0.1728,,,,,275.348,2.6201000000000008,47.56,3,1,4,3,1,0.5625
COc1cc2nc(N3CCN(C(=O)C4CCCO4)CC3)nc(N)c2cc1OC,0.98,0.20450000000000002,0.9,,,9.0,387.44000000000017,1.0567999999999995,103.04,8,1,4,4,2,0.5263157894736842
Cn1c(=O)c2nc[nH]c2n(C)c1=O,0.51,0.563,,5.75,4.79,7.2,180.16699999999997,-1.0397000000000005,72.68,5,1,0,2,2,0.2857142857142857
Cn1c(=O)c2nc[nH]c2n(C)c1=O,0.51,0.563,,3.0,4.79,7.2,180.16699999999997,-1.0397000000000005,72.68,5,1,0,2,2,0.2857142857142857
CC(=O)Nc1cccc(-n2c(=O)n(C3CC3)c(=O)c3c(Nc4ccc(I)cc4F)n(C)c(=O)c(C)c32)c1,13.94,0.00950000000000003,,,,,615.4029999999999,3.940120000000002,107.13,8,2,5,5,4,0.23076923076923078
O=c1n(CCCN2CCN(c3cccc(Cl)c3)CC2)nc2ccccn12,0.52,0.03,2.67,,,7.3,371.8720000000001,2.3617,45.78,6,0,5,4,3,0.3684210526315789
Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1Cl)=NC2,0.58,0.14519999999999997,2.34,150.0,,2.7,343.21700000000004,4.233520000000002,43.07,4,0,1,4,3,0.11764705882352941
COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,1.5,0.3390000000000001,0.63,,3.0,9.6,290.32300000000004,1.2575999999999998,105.51,7,2,5,2,2,0.2857142857142857
