container_name,parameter_name,default_value,min_value,max_value
AmnioticFluid,Allometric scale factor,0.75,0.75,0.75
AmnioticFluid,Density (tissue),1.0,0.0,
ArterialBlood,Allometric scale factor,0.75,0.75,0.75
ArterialBlood,Density (tissue),1.0,0.0,
ArterialBlood,Fraction vascular,1.0,0.0,1.0
ArterialBlood,Peripheral blood flow fraction,0.0,0.0,1.0
ArterialBlood_UmbilicalCord,Allometric scale factor,0.75,0.75,0.75
ArterialBlood_UmbilicalCord,Density (tissue),1.0,0.0,
Bone,Acidic phospholipids [mg/g] - RR,0.67,0.0,1000.0
Bone,Albumin ratio (tissue/plasma),0.1,0.0,1.0
Bone,Albumin ratio (tissue/plasma)-PT,0.5,0.0,1.0
Bone,Allometric scale factor,2.0,2.0,2.0
Bone,Density (tissue),1.0,0.0,
Bone,Flow fraction via large pores,0.05,0.0,1.0
Bone,Fluid recirculation flow proportionality factor,0.96,0.0,
Bone,Fraction interstitial,0.1,0.0,1.0
Bone,Fraction of blood for sampling,1.0,0.0,1.0
Bone,Fraction vascular,0.034,0.0,1.0
Bone,Hydraulic conductivity,9.0e-12,0.0,
Bone,Lipoprotein ratio (tissue/plasma),0.05,0.0,1.0
Bone,Lymph flow proportionality factor,0.000662,0.0,
Bone,Organ volume mouse,0.00158,0.0,
Bone,Peripheral blood flow fraction,0.0,0.0,1.0
Bone,Radius (large pores),2.5e-7,0.0,
Bone,Radius (small pores),4.5e-8,0.0,
Bone,Vf (acidic phospholipids)-WS,0.0008,0.0,1.0
Bone,Vf (extracellular water)-RR,0.1,0.0,1.0
Bone,Vf (intracellular water)-RR,0.317,0.0,1.0
Bone,Vf (lipid),0.268,0.0,1.0
Bone,Vf (neutral lipid)-PT,0.074,0.0,1.0
Bone,Vf (neutral lipid)-RR,0.0174,0.0,1.0
Bone,Vf (neutral lipid)-WS,0.017,0.0,1.0
Bone,Vf (neutral phospholipid)-RR,0.0016,0.0,1.0
Bone,"Vf (neutral phospholipid, plasma)-WS",0.0022,0.0,1.0
Bone,Vf (phospholipid)-PT,0.0011,0.0,1.0
