seed,fold,gmfe,r2,pct_2fold,pct_3fold
1,1,3.23012670401139,-Inf,0.0,0.0
1,2,1.645381450620849,-Inf,100.0,100.0
1,3,2.5373031272175743,-Inf,0.0,100.0
1,4,1.4581711560129538,-Inf,100.0,100.0
1,5,1.4947421219944423,-Inf,100.0,100.0
2,1,1.7542557999517807,-Inf,100.0,100.0
2,2,1.1684087888367722,-Inf,100.0,100.0
2,3,2.1969103809513877,-Inf,0.0,100.0
2,4,1.037232237199982,-Inf,100.0,100.0
2,5,3.098335738867116,-Inf,0.0,0.0
3,1,2.9184374180022497,-Inf,0.0,100.0
3,2,1.3191319456577018,-Inf,100.0,100.0
3,3,2.5276739778694997,-Inf,0.0,100.0
3,4,1.1531141949596257,-Inf,100.0,100.0
3,5,1.0417217557065095,-Inf,100.0,100.0
4,1,1.9904984738288625,-Inf,100.0,100.0
4,2,1.5156684496571213,-Inf,100.0,100.0
4,3,1.0778062147971756,-Inf,100.0,100.0
4,4,1.3779304140662412,-Inf,100.0,100.0
4,5,1.9385996406821349,-Inf,100.0,100.0
5,1,1.1692790014759198,-Inf,100.0,100.0
5,2,3.242273524610614,-Inf,0.0,0.0
5,3,4.637975322502436,-Inf,0.0,0.0
5,4,6.014593591267205,-Inf,0.0,0.0
5,5,2.0570306772414257,-Inf,0.0,100.0
6,1,3.003101946226065,-Inf,0.0,0.0
6,2,4.036213211508409,-Inf,0.0,0.0
6,3,5.461172365296,-Inf,0.0,0.0
6,4,1.061472821438523,-Inf,100.0,100.0
6,5,6.293619288426418,-Inf,0.0,0.0
7,1,1.4937371454461952,-Inf,100.0,100.0
7,2,2.0764987999203917,-Inf,0.0,100.0
7,3,1.139799307416588,-Inf,100.0,100.0
7,4,1.129671430884574,-Inf,100.0,100.0
7,5,1.3920572006348375,-Inf,100.0,100.0
8,1,2.189867302188568,-Inf,0.0,100.0
8,2,1.123628525401817,-Inf,100.0,100.0
8,3,1.823115914238973,-Inf,100.0,100.0
8,4,1.1804270500876481,-Inf,100.0,100.0
8,5,2.622107182493661,-Inf,0.0,100.0
9,1,1.2783280174312681,-Inf,100.0,100.0
9,2,1.224996128593164,-Inf,100.0,100.0
9,3,1.5413508602132746,-Inf,100.0,100.0
9,4,1.071269295837846,-Inf,100.0,100.0
9,5,1.8013180254473815,-Inf,100.0,100.0
10,1,1.6969756693593196,-Inf,100.0,100.0
10,2,1.0165554162686203,-Inf,100.0,100.0
10,3,1.0570363188856375,-Inf,100.0,100.0
10,4,2.3187063320740164,-Inf,0.0,100.0
10,5,3.271037119382699,-Inf,0.0,0.0
