Modelo,Janela,R² (linear),R² (log1p),MSE (linear),MAE (linear),Baseline Mean R² (linear),Baseline Mean R² (log1p)
sweep_b,1:12,0.9999929606016273,0.9999933408920311,1.447278009436559e-06,0.0005155460094101727,0.8781452911197529,0.8869213125683497
sweep_b,12:24,0.9999859427578275,0.9999861134412958,6.879241709611961e-08,0.00017476889479439706,0.991295826184479,0.9913021352476109
sweep_b,24:48,0.9999876158342152,0.9999880863499471,1.4708504636473663e-08,8.753973088460043e-05,0.9966274285332055,0.9967680282446941
sweep_b,48:49,0.9999925548720282,0.9999928406683081,8.293737252529354e-09,6.867219053674489e-05,0.9968818932558016,0.9970327238275934
sweep_c,1:12,0.9999927956990774,0.999993097643315,1.4811814708082238e-06,0.0005057012313045561,0.8781452911197529,0.8869213125683497
sweep_c,12:24,0.9999893734285655,0.9999892771172464,5.200362451773799e-08,0.00015558084123767912,0.991295826184479,0.9913021352476109
sweep_c,24:48,0.9999875352841819,0.9999880278818691,1.4804172110416403e-08,8.76218473422341e-05,0.9966274285332055,0.9967680282446941
sweep_c,48:49,0.9999921029095155,0.999992458599645,8.797215400591085e-09,5.991398938931525e-05,0.9968818932558016,0.9970327238275934
v4_compound,1:12,0.9999937957331664,0.9999933822744476,1.5649627584934933e-06,0.0005123218870721757,0.9443749681911453,0.9551469465787333
v4_compound,12:24,0.9999906866400279,0.9999903891650471,4.746762982676955e-08,0.00014176442346069962,0.990264581622249,0.9901965420064814
v4_compound,24:48,0.9999917102036329,0.9999918104263146,9.813853729667699e-09,6.452090019593015e-05,0.998540794805557,0.9985991746388241
v4_compound,48:49,0.9999947661153209,0.9999948485277071,5.804736691317203e-09,4.8916095693130046e-05,0.9989471056773718,0.9989920773325497
