compound,dose,cl_hepatic,cl_renal,cl_total,kp_mean,kp_min,kp_max,c0_expected,c0_pred,c0_ratio,pred_cmax,obs_cmax,cmax_ratio,pred_auc,obs_auc,auc_ratio
Atorvastatin,10.0,0.1773049682378769,0.0591016560792923,0.2364066243171692,9.428571701049805,1.0,20.0,2.0,2.0,1.0,2.0,0.008199999999999999,243.90243902439028,2.1705217361450195,0.0423,51.31257059444491
Rivaroxaban,10.0,0.0072115384973585606,0.0024038462433964014,0.009615384973585606,1.1708928346633911,0.35249999165534973,2.3499999046325684,2.0,2.0,1.0,2.0,0.141,14.184397163120568,2.2286500930786133,1.04,2.142932781806359
Metformin,500.0,0.06818182021379471,0.022727273404598236,0.09090909361839294,7.019108295440674,1.0,14.850000381469727,100.0,100.0,1.0,100.0,1.0,100.0,7.603963851928711,5.5,1.3825388821688565
Midazolam,5.0,0.04199328273534775,0.013997760601341724,0.0559910424053669,0.16499997675418854,0.029999999329447746,1.0,1.0,1.0,1.0,1.1838537454605103,0.0325,36.42626909109262,2.1417336463928223,0.08929999999999999,23.983579466884912
Warfarin,5.0,0.07500000298023224,0.02500000037252903,0.10000000149011612,0.18839284777641296,0.03750000149011612,1.0,1.0,1.0,1.0,1.188779592514038,0.0011,1080.7087204673073,2.1642329692840576,0.05,43.28465938568115
Digoxin,0.25,0.00937500037252903,0.0031250000465661287,0.012500000186264515,9.428571701049805,1.0,20.0,0.05,0.05000000074505806,1.0,1.1571629047393799,0.0012,964.30242061615,2.059328556060791,0.02,102.96642780303955
Caffeine,200.0,0.004999999888241291,0.0016666667070239782,0.006666666828095913,0.9369643330574036,0.2775000035762787,1.850000023841858,40.0,40.0,1.0,40.0,6.5,6.153846153846154,4.450243949890137,30.0,0.14834146499633788
Ibuprofen,400.0,0.0033333334140479565,0.0011111111380159855,0.004444444552063942,0.23517858982086182,0.05249999836087227,1.0,80.0,80.0,1.0,80.0,25.0,3.2,6.651087760925293,90.0,0.07390097512139214
Propranolol,40.0,0.15000000596046448,0.05000000074505806,0.20000000298023224,6.317322254180908,1.0,13.350000381469727,8.0,8.0,1.0,8.0,0.05,160.0,2.562105178833008,0.2,12.810525894165039
Aspirin,500.0,20.790000915527344,6.929999828338623,27.720001220703125,0.23517858982086182,0.05249999836087227,1.0,100.0,100.0,1.0,100.0,,,7.767869472503662,,
Warfarin,10.0,0.10395000129938126,0.03465000167489052,0.13860000669956207,0.18839284777641296,0.03750000149011612,1.0,2.0,2.0,1.0,2.0,,,2.221086025238037,,
Midazolam,7.5,0.1905750036239624,0.0635249987244606,0.2540999948978424,0.16499997675418854,0.029999999329447746,1.0,1.5,1.5,1.0,1.5,,,2.1713616847991943,,
Digoxin,0.5,7.21875,2.40625,9.625,9.428571701049805,1.0,20.0,0.1,0.10000000149011612,1.0,1.1867507696151733,,,2.13334059715271,,
Caffeine,200.0,4.1579999923706055,1.3860000371932983,5.544000148773193,0.9369643330574036,0.2775000035762787,1.850000023841858,40.0,40.0,1.0,40.0,,,4.492172718048096,,
Metoprolol,100.0,43.064998626708984,14.354999542236328,57.41999816894531,6.785179615020752,1.0,14.350000381469727,20.0,20.0,1.0,20.0,,,3.2140703201293945,,
Propranolol,80.0,35.083126068115234,11.694375038146973,46.77750015258789,6.317322254180908,1.0,13.350000381469727,16.0,16.0,1.0,16.0,,,2.9897665977478027,,
Ibuprofen,400.0,2.598750114440918,0.8662499785423279,3.4650001525878906,0.23517858982086182,0.05249999836087227,1.0,80.0,80.0,1.0,80.0,,,6.676943778991699,,
