compound_id,dose,cl_hepatic,cl_renal,pred_cmax,obs_cmax,residual_cmax,residual_cmax_pct,residual_cmax_log,pred_auc,obs_auc,residual_auc,residual_auc_pct,residual_auc_log
Atorvastatin,10.0,0.1773049682378769,0.0591016560792923,2.0,0.008199999999999999,1.9918,24290.243902439026,2.3872161432802645,2.1705217361450195,0.0423,2.1282217361450195,5031.257059444491,1.710223771954513
Rivaroxaban,10.0,0.0072115384973585606,0.0024038462433964014,2.0,0.141,1.859,1318.4397163120568,1.1518108830086013,2.2286500930786133,1.04,1.1886500930786132,114.29327818063588,0.3310085485740624
Metformin,500.0,0.06818182021379471,0.022727273404598236,100.0,1.0,99.0,9900.0,2.0,7.603963851928711,5.5,2.103963851928711,38.25388821688565,0.14067735413508908
Midazolam,5.0,0.04199328273534775,0.013997760601341724,1.1838537454605103,0.0325,1.1513537454605103,3542.626909109262,1.5614146915239016,2.1417341232299805,0.08929999999999999,2.0524341232299803,2298.3584806606723,1.3799140972520199
Warfarin,5.0,0.07500000298023224,0.02500000037252903,1.1887794733047485,0.0011,1.1876794733047484,107970.86120952258,3.0337086123455532,2.1642332077026367,0.05,2.114233207702637,4228.466415405273,1.6363340521731071
Digoxin,0.25,0.00937500037252903,0.0031250000465661287,1.1571629047393799,0.0012,1.1559629047393798,96330.24206161499,2.9842132569397157,2.059328317642212,0.02,2.039328317642212,10196.64158821106,2.0126955958173194
Caffeine,200.0,0.004999999888241291,0.0016666667070239782,40.0,6.5,33.5,515.3846153846155,0.7891466346851067,4.450243949890137,30.0,-25.549756050109863,-85.16585350036621,-0.8287374362809194
Ibuprofen,400.0,0.0033333334140479565,0.0011111111380159855,80.0,25.0,55.0,220.00000000000003,0.5051499783199058,6.651087760925293,90.0,-83.3489122390747,-92.60990248786078,-1.1313498310632824
Propranolol,40.0,0.15000000596046448,0.05000000074505806,8.0,0.05,7.95,15900.0,2.204119982655925,2.562105655670166,0.2,2.362105655670166,1181.0528278350828,1.1075670394747443
Aspirin,500.0,20.790000915527344,6.929999828338623,,,,,,,,,,
Warfarin,10.0,0.10395000129938126,0.03465000167489052,,,,,,,,,,
Midazolam,7.5,0.1905750036239624,0.0635249987244606,,,,,,,,,,
Digoxin,0.5,7.21875,2.40625,,,,,,,,,,
Caffeine,200.0,4.1579999923706055,1.3860000371932983,,,,,,,,,,
Metoprolol,100.0,43.064998626708984,14.354999542236328,,,,,,,,,,
Propranolol,80.0,35.083126068115234,11.694375038146973,,,,,,,,,,
Ibuprofen,400.0,2.598750114440918,0.8662499785423279,,,,,,,,,,
Diclofenac,50.0,6.06374979019165,2.021250009536743,,,,,,,,,,
Carbamazepine,200.0,1.9590576887130737,0.6530192494392395,,,,,,,,,,
Atenolol,50.0,6.06374979019165,2.021250009536743,,,,,,,,,,
Metformin,500.0,31.184999465942383,10.395000457763672,,,,,,,,,,
Furosemide,40.0,4.1579999923706055,1.3860000371932983,,,,,,,,,,
